Unnamed: 0,artist,seq,song,emotions,__index_level_0__,genre,predicted_emotions
53917,Gary Cooke,"When all the dark clouds roll away
And the sun begins to shine
I see my freedom from across the way
And it comes right in on time
Well it shines so bright and it gives so much light
And it comes from the sky above
Makes me feel so free makes me feel like me
And lights my life with love

[Chorus:]
And it seems like and it feels like
And it seems like yes it feels like
A brand new day, yeah
A brand new day oh

I was lost and double crossed
With my hands behind my back
I was longtime hurt and thrown in the dirt
Shoved out on the railroad track
I've been used, abused and so confused
And I had nowhere to run
But I stood and looked
And my eyes got hooked
On that beautiful morning sun

[Chorus]

And the sun shines down all on the ground
Yeah and the grass is oh so green
And my heart is still and I've got the will
And I don't really feel so mean
Here it comes, here it comes
0 here it comes right now
And it comes right in on time
Well it eases me and it pleases me
And it satisfies my mind

[Chorus]",Brand New Day,['sadness'],33914,alternative rock,{'sadness': 0.9305453896522522}
31894,Dovetail Joint,"All the trials you've endured
Around and around, the refrain
rings the same each time it's heard
Entertain the notion, that the only thing I hear
Is the crack of a smile, in a face that ain't so sincere

When measuring out your quality
It is only as deep as your modesty

As your insides fall to pieces
Shattered by the silent treatment
Things are only fragile till they break
Feigning your humility
It only serves to weaken the
Most common observations that you make
Drown me out in conversation
Surf a wave of provocation
Wash away my interest in your wake

I think you can, reach a place
where the impetus is pure
You'll understand, a disgrace
is the thing that makes us feel..

""Level on the inside, level on the outside""

I'm content to know it
I don't need to show it
",Level on the Inside,['sadness'],11891,alternative rock,{'sadness': 0.4620203971862793}
42594,Fab Again,"Oh, I need your love, babe
Guess you know it's true
Hope you need my love babe
Just like I need you

Hold me, love me, hold me, love me
I ain't got nothing but love, babe
Eight days a week

Love you every day, girl
Always on my mind
One thing I can say, girl
Love you all the time

Hold me, love me, hold me, love me
I ain't got nothing but love, girl
Eight days a week

Eight days a week
I love you
Eight days a week
Is not enough to show I care

Ooh I need your love, babe
Guess you know it's true
Hope you need my love babe
Just like I need you

Hold me, love me, hold me, love me
I ain't got nothing but love, babe
Eight days a week

Eight days a week
I love you
Eight days a week
is not enough to show I care

Love you every day, girl
Always on my mind
One thing I can say girl
Love you all the time

Hold me, love me, hold me, love me
I ain't got nothing but love, babe
Eight days a week
Eight days a week
Eight days a week",Eight Days a Week,['neutral'],22591,Unknown,"{'neutral': 0.36877569556236267, 'joy': 0.22131693363189697, 'sadness': 0.18958230316638947}"
36624,Del the Funky Homosapien,"Fresh from the meadow with a mellow attitude
I was plannin' to pursue another quest for the bus
I had to go to San Fran, it's something that I can't stand
It's beggin' for a ride with ma dukes makes a fuss
I don't like fussin' so I ask my older cousin
Could he maybe find time to give the D-E-L a lift
He said it is impossible because he has a roster full of plans for the day
I had to go and sift through pennies in my jeans
To many it may seem that the public transportation really isn't keen
And I agree with the theory
Because it's 3:30 and the bus was due at 2:35
I iron my Girbauds so I can wait with pride
I waited at the bus stop feeling kinda high
From a spliff that I smoked, I riffed and provoked
A little scene when the bus arrived late like a joke
With a corny punchline, and it was only lunchtime
The bus should've been here, the driver had much time
To get is act together, no matter what the weather
Now I'm sittin' at the bus stop waitin' like forever

When oh when is the bus gonna come
I'm getting sick and tired of the wait
When oh when is the bus gonna come
Well here comes a pack of about 4 teens
Lookin' real mean with hoodies and jeans
And bad attitudes and I wasn't in the mood
For no head on collision with the hoods
Try to use my transfer but it's no good
Would these rough lookin' kids get busy with the youngsta
Amongst the many who must catch rapid transit to get through the city
I'm not certain
But if I go sit in the back it's curtains
Kids wanna ride the back, what kinda shit is that?
Nowadays niggas can't wait to hit the back
Let me stand in the front with the elderly
So those other cats won't raise hell with me

Oh golly gee, not another day on the 46A
I should've caught the 46B
Cause dukes takes the mass scene and group through the trees
And shoots the breeze with the ladies
Look at that around the way girl yeah, I see her
More crack than a drug dealer
A kid sits by me with a gang of afro sheen on
I'm not Joe Clark and I would hate for him to lean on
My shoulder and try to hold a conversation
Cause I don't have the patience
When oh when is the bus gonna reach its destination
Question over space and time, wastin' time
Word up, I can't take this line of nitwits
I'm about to have a fit quick
Cause this trip here is making me car sick
Check out the brother with the loaded .38
Braggin' to his buddies about the money that he makes
Sellin' crack viles like pancakes
To baseheads just like the one
That's sittin by the window starvin' for a fix
He spent his last 80 cents on fare
He raises up and lets me get in his chair
Then I sit and take a snooze
But I still lose
Cause I cruise right past my stop
Had to get off and walk 15 blocks",The Wacky World of Rapid Transit,['sadness'],16621,hip-hop,{'anger': 0.734573483467102}
6374,Tony Bennett,"I do not know a day I did not love you
I can't remember love not being there
The planting when the earth ran through your fingers
The harvest when the sun danced in your hair

I do not know a day, I did not need you
For sharing every moment that I spent
I needed you before I ever knew you
Before I knew what needing someone meant

And if we ever were to have tomorrow
One fact alone is full and filled with song
You will not know a day I do not love you
The way that I have loved you all our lives",I Do Not Know a Day I Did Not Love You,['sadness'],6374,jazz,{'sadness': 0.8455172777175903}
59342,Bun B,"[Bun B:]
Baby girl lookin' good, feel real thick
Real pretty, real fly, she a real chick
Lookin' for a real player to adore ya
But look no further, I'm the player for ya
Sittin' big on the 20-somethin' inch thangs
Leanin' on the leather, grippin grain with them big rangs
Big piece, big chain with the big ice
You wanna roll? You ain't gotta ask the kid twice
Push a button, the do's open up for ya
I save the shotgun seat up in the trunk for ya
Stitch and tuck, so you know that I'm a boss
With the red candy paint lookin' like spaghetti sauce
You wanna floss with a G, keep it real
It ain't no need in you lyin, to the king of the Trill
You either won't or you will
Just keep it one hundred with a player baby tell me how you feel
C'mon

[Chorus One: Mya]
People always talkin' bout, they be sayin' they be sayin they be sayin'
Your reputation, how you got a lot of hoes, but I don't really give a
I don't care what you did to them~! Just be good to me (be good to me)
Just be good to me (just be good to me) just be good!

[Bun B:]
You want me to be good, then I'm a be the best
And I'm a give you top shelf baby nuttin' less
Front do' to the, front row
Whatever, you need just let, Bun know (Bun know)
First class flights, penthouse suites
You want sushi? We go to Japan to eat
You want pasta? We fly to Milan
That's how it is in the life of a don
We eat fillet mignon in Pa-ris
That's how it is when you rollin' with a G
Your man want it but he ain't that rich
Trust me baby I can scratch that itch
Never call you a bitch when you act like a lady
You carry yourself like a woman and we gravy
Ain't no maybe, I know I can
Put the whole wide world in the palm of your hand baby

[Chorus 2: Mya]
People always tellin me, they be sayin they be sayin' they be
That you're a player
I don't care 'bout them other girls~! Just be good to me (be good to me)
Just be good to me (just be good to me) just be good!

[Mya:]
I said, I'll hold you down when you need me
I'm gonna be, I'm gon' always be around
I'll give you all my love
If you treat me right baby, oh

[Bun B:]
Girl anything you wishin' I can make it come true
Have you lookin' like a million dollars when you come through
With'cha Louboutin' shoes, or Jimmy Chu's
Giuseppe, Zanetti or whatever you wanna do (you wanna do)
Louis V, Dior, Prada or Gucci (Gucci)
Richard Roy, Chanel, or maybe Coogi (Coogi)
Dolce and Gabbana or Valentino's (Tino's)
Ferragamo, Mark Jacobs, Malandrino's (Drino's)
Maybe Fendi or Yves St. Laurent
Versace, KLS, or whatever that you want
It ain't a thang to buy you some Vera Wang
You gotta look like a Queen for you to be with the Kang
The fancy cars with the butterfly do's
Big mansion with the marble on the flo's
The world is yo's but here's the key
When I'm bein' good to you, be good II me

[Chorus 1 + Chorus 2: with ad libs]

[Mya:]
In the morning
In the evening baby
If you treat me good I'm a gonna keep on comin' to ya
La la la la la lahhh
La la la la la lahhh
You're all that I know, just be good to me",Good II Me,['neutral'],39339,gangsta rap,"{'neutral': 0.3610338270664215, 'disgust': 0.23254120349884033}"
68142,Darude,"You
You
You

You 
Every time you go
You leave my heart alone
I flow in the darkness

You 
Every time I'm there
You fill my body with care
I flooow

You
Every time you go 
Every time you go

I flow
I flow in the darkness 
I flow in the darkness

You created darkness
It covers me at night
You created coldness
It shivers me inside 
It shivers me inside 

Darkness
Coldness
You
Darkness
You
Coldness

In the darkness 
In the darkness
In the darkness
In the darkness
In the darkness
In the darkness

I flow
In the darkness

I flow
I flow in the darkness

In the darkness 
In the darkness
In the darkness

I flow in the darkness",In the Darkness [Trance Mix],['fear'],48139,house music,{'fear': 0.8517197370529175}
43876,The Damned,"It's been getting so hard
Living with the things you do to me
My dreams are getting so strange
I'd like to tell you everything I see

I see a man at the back as a matter of fact
His eyes are as red as the sun
And a girl in the corner let no one ignore her
'Cause she thinks she's the passionate one

Oh yeah, it was like lightning, everybody was frightening
And the music was soothing and they all started grooving
Yeah, yeah
Yeah, yeah, yeah

And the man at the back said ""Everyone attack""
And it turned into a ballroom blitz
And the girl in the corner said, ""Boy I wanna warn you""
And it turned into a ballroom blitz

Ballroom blitz
Ballroom blitz
Ballroom blitz
Ballroom blitz

I'm reaching out for something
Touching nothing's all I ever do
I softly call you over
When you appear there's nothing left of you

Now the man at the back is ready to crack
As he raises his hands to the sky
And the girl in the corner is everyone's moaner
She could kill you with a wink of her eye

Oh yeah, it was electric, so frightfully hectic
And the band started leaping
'Cause they all stopped breathing
Yeah, yeah, yeah, yeah, yeah

And the man at the back said ""Everyone attack""
And it turned into a ballroom blitz
And the girl in the corner said, ""Boy I wanna warn you""
And it turned into a ballroom blitz

Oh yeah, it was like lightning
Everybody was frightening
And the music was soothing
And they all started grooving
Yeah, yeah, yeah, yeah, yeah

And the man at the back said ""Everyone attack""
And it turned into a ballroom blitz
And the girl in the corner said, ""Boy I wanna warn you""
And it turned into a ballroom blitz

It's, it's a ballroom blitz
It's, it's a ballroom blitz
It's, it's a ballroom blitz, yeah

",Ballroom Blitz,['fear'],23873,drama film,{'fear': 0.959696888923645}
56126,Bob Masteller,"(America, America, America, America)
Oh beautiful for spacious skies, for amber waves of grain
For purple moutain majesties above thy fruited plain!
America, America, God shed His grace on thee
And crown thy good with brotherhood from sea to shining sea

(Oh beautiful for patriot dream that sees beyond the years)
(Thine alabaster cities gleam undimmed by human tears)
America, America, God shed His grace on thee
And crown thy good with brotherhood from sea to shining sea",America the Beautiful,['joy'],36123,Unknown,{'joy': 0.9291102886199951}
34144,Michael Feinstein,"A clown with his pants falling down
Or the dance that's a dream of romance
Or the scene where the villain is mean.
That's entertainment!
The lights on the lady in tights
Or he bride with the guy by her side
Or the ball where she gives it her all.
That's entertainment!
The plot can be hot, simply teeming with sex
A gay divorcee who is after her ex
It could be Oedipus Rex
Where a chap kills his father and causes lots of bother.
The clerk who is thrown out of work
By the boss who is thrown for a loss
By the skirt who is doing him dirt
The world is a stage; the stage is a world of entertainment!
It might be a fight like you see on the screen
A swain getting slain for the love of a queen
Some great Shakespearean scene
Where a ghost and a prince meet, and everyone ends in mincemeat.
The guy who was waving the flag
That began with the mystical hand
Hip hooray! The American way
The world is a stage; the stage is a world of entertainment!",That's Entertainment!,['disgust'],14141,traditional pop,"{'disgust': 0.4810524582862854, 'anger': 0.3421039581298828}"
79,Eliza Doolittle,"Time is up
I need you to know, that I need you,
Don't you walk away,
I'm feeling so high
From my arms, from my lips to my eyes

In the alley-way feeling peaceful now,
Traffic doesn't ever bother me,

It's enough for me,
Living in my dreams,
I just can't be bothered,
Why should I be bothered?

My time is up
I need you to know, that I need you,
Don't you walk away,
I'm feeling so high
From my arms, from my lips to my eyes

On a sunny day,
Sit and contemplate,
All the things that really matter now,
It hurts to hear that you're doing good,
I just can't be bothered,
Why should I be bothered?

I know the truth
Gotta let you go
Gotta put you out
You've become a foe

My time is up
I need you to know, that I need you,
Don't you walk away,
I'm feeling so high
From my arms, from my lips to my eyes

My time is up
I need you to know, that I need you,
Don't you walk away,
I'm feeling so high
From my arms, from my lips to my eyes",So High,['joy'],79,pop music,"{'anger': 0.3777516186237335, 'sadness': 0.28751716017723083, 'joy': 0.2699396014213562}"
66194,Natalie Cole,"Tell her you care
Each time you speak
Make it her birthday
Each day of the week
Bring her nice things
Sugar and spice things
Roses and lollipops
And lollipops and roses

One day shell smile
Next day shell cry
Minute to minute
You'll never know why
Coax her, pet her
Better yet get her
Roses and lollipops
And lollipops and roses

We try acting grown up
But as a rule
Were all little children
Fresh from school

So, carry her books
That's how it starts
Fourteen to forty
They're kids
In their hearts
Keep them handy
Flowers and candy
Roses and Lollipops
And lollipops and roses",Lollipops and Roses,['neutral'],46191,pop music,{'neutral': 0.7918365597724915}
39153,Anja Garbarek,"I'm lying as far out
Towards the edge
As possible
So far out
That I'm almost tripping over
You lie behind me
Your breath is heavy
You're sleeping

There are some screws
That are coming loose
From two holes in the wall
The plaster's sifting down
Resting like sleep-sand in my eyes

There's a cabinet
(Hanging over my bed)
Filled with all my secret things
(Filled with all my secret things)
Every night I lie
(Staring at it)
I'm so afraid that it will fall down
Onto my face

I know what is keeping
My cabinet from falling down

It's very a small bird
Made of ceramics
Fastened by a thread
To the bottom of the cabinet
When you're awake
You play around with it
Then I get so scared
That the thread won't be strong enough

I'm hiding my head under the pillow
Hoping that
The bird won't fly away

There's a cabinet
(Hanging above my bed)
Filled with all my secrets things
(Filled with secret things)
Every night I lie
(Staring up at it)
I'm so afraid that it will fall down

'Cause what if the cabinet
(Were to fall down)
And what if it hit my face
(Would you get frightened by)
The things that you would see
(The things that you would see)
Or would try to mend it
(Would you even try)
There's a cabinet
Hanging above my bed
Filled with secret things



",The Cabinet,['fear'],19150,trip hop,{'fear': 0.9708272814750671}
67072,Newsboys,"Last one turns the lights out, and
Makes sure every curtain's drawn
Nails the shutters shut, he's sure
We are not of this world for long
Who do you think you are?
Did you figure out the date?
What do you hope to do
While you sit around and wait, wait, wait?

Last one turns the lights out, and
Disconnects the answer phone
Stuffs all sense of mission, says
""I just can't turn the tide alone""
Who do you think you are?
Did you figure out the time?
What do you hope to do
While you hide out and whine, whine, whine

Don't go shuttin' down
'til the trumpet sounds
And the battle is won
Don't go punchin' out
'til the final shout
And the Father says,
""Well done""

Last one turns the light out, and
Just keeps playing dumb
These were his instructions, he's
Not sure where he got 'em from
Why do you want to hide
In a separate class?
Why do you buy the lie
Of faith under glass, glass, glass

Don't go shuttin' down

Last one shoots the light sout, and
Climbs up to the top of the roof
He's sitting there 'til the Second Coming
Says he's got mathematical proof
Who do you think you are?
Did you figure out the date?
What do you hope to do
While you sit around and wait, wait, wait...

Don't go shuttin' down...",Lights Out,['neutral'],47069,nu metal,{'neutral': 0.4022458791732788}
48943,Audrey Assad,"I know that the hardest
Part of love is not the
Things I have to give, no

It's what I give up, I'm giving up ground
I'm trading in my solitude for safety now.
All my pride, it doesn't stand a chance against the way you move.
You're tearing up roots & breaking down walls.
I don't stand a chance at all against the way you move.

You're like a lion, standing in my house,
And you're taking off the doors on your way in,
I got nothing left to hide behind.
You're reading all my faith and all my fear in my eyes

All my pride,
You know it doesn't stand a chance against the way you move,
You're tearing up my roots and breaking down walls,
And I don't stand a chance at all against the way you move",The Way You Move,['fear'],28940,Unknown,{'fear': 0.8945679664611816}
40284,Shinedown,"Should I offer up my hand
And save a wish for once
For all of us
And should I offer up my hand
And lay the guilt on myself
So it's easier to not stay 
To not stay

[Chorus:]
Because I found you in your corner
I pulled you out of the clouds
You left in such a hurry
Your face is lost in the crowd

Should I open up my eye's or just ignore who you are
And what you could have been
And should I open up my eye's and make believe you will change
So it's easier to not stay, to not stay

[Chorus]

Your face is lost in the crowd
Your face is lost in the crowd",Lost in the Crowd,['sadness'],20281,alternative rock,"{'fear': 0.4192458987236023, 'sadness': 0.3468569219112396}"
41394,Elf Power,"It's too late
The light has gone
So listen to the siren song
Calling from the sea

The day is dark
The streets are cold
An empy face, an empy hole
All the voices scream

The birds above
The worms are under me
Cast your eyes
To the visions of the sea

Come outside, the rain is here
Slip away and disappear from the deep
And the years will pull you underneath

Eat the plate, drink the cup
Tell the fish to wake me up
I'm crawling from the deep

And the years will pull you underneath
Cast your eyes to visions of the sea

The wind will blow
The ships will sail
The birds are shrieking
Through the air
Calling from the sea

The blackness lifts into the sky
Drifting past the wandering eyes
Watching you asleep

The birds above
The worms are under me
Cast your eyes
To the visions of the sea

And the years will pull you underneath
Cast your eyes to visions of the sea",Visions of the Sea,['fear'],21391,indie rock,{'fear': 0.9114302396774292}
40906,Eleanor McEvoy,"Woo  ah mercy, mercy me
Ah, things ain't what they used to be.
No, no, where did all the blue skies go,
Poison is the wind that blows 
From the north and south and east 
Woo mercy, mercy me
 
Ah things ain't what they used to be, no, no
Oil wasted on the ocean and upon
Our seas fish full of mercury, ah.  oh
 
Ah things ain't what they used to be
What about this over crowded land
How much more abuse from man can she stand?
 
Oh mercy, mercy me.
Ah things ain't what they used to be.
No, no, no, radiation underground and in the sky;
Animals and birds who live near by are dying oh,
 
Oh mercy, mercy me.
Ah things ain't what they used to be.
No, no, no, radiation underground and in the sky;
Animals and land how much more abuse from man can she stand?",Mercy Mercy Me (The Ecology),['fear'],20903,rock music,{'fear': 0.5864583849906921}
46507,Megadeth,"Lost in a dream
Nothing is what it seems
Searching my head
For the words that you said
Tears filled my eyes
As we said our last goodbyes
This sad scene replays
Of you walking away
My body aches from mistakes
Betrayed by lust
We lied to each other so much
That in nothing we trust
Time and again
She repeats let's be friends
I smile and say yes
Another truth bends,
I must confess
I try to let go, but I know
We'll never end 'til we're dust
We lied to each other again
But I wish I could trust
My body aches of mistakes
Betrayed by lust
We lied to each other so much
That in nothing we trust
God help me please, on my knees
Betrayed by lust
We lied to each other so much
That in nothing we trust
How could this be happening to me
I'm lying when I say, ""Trust me""
I can't believe this is true
Trust hurts
Why does trust equal suffering
Absolutely nothing we trust",Trust,['sadness'],26504,J-pop,{'sadness': 0.9719234108924866}
53700,Alabama,"I know your day's been long
Then you know, I got some ideas
and hope you like them
I've been thinking about you all day
and I just wonder you know
what I could do
to make this the best night of your life
cause you know how much you mean to me

I was thinking about you
and wondering what we should do for the night
I was making me a list
of all those places
I wanna kiss on you

So what are you thinking, Miss Mystery
I'll let your actions convince me
and when I hold you in my arms
there's no more questions
we're one on one

I wanna be checking you out
I'll have flowers waiting for you with the wine, oh girl
I was hoping what I could do
with those clothes you have on you, all night

So what are you thinking, Miss Mystery
I'll let your actions convince me
and when I hold you in my arms
there's no more questions
we're one on one,whoa oh yeah, yeah

Girl look at me and don't say a word
My heart is hearing and I'll kiss where you hurt
and when I hold you in my arms
there's no more questions
were one on one on one
Oh we're one on one, girl
I've been waiting' for you all day long, girl",One on One,['surprise'],33697,country music,{'surprise': 0.7234779596328735}
257,Ella Fitzgerald,"It seems we stood and talked like this, before
We looked at each other in the same way then
But I can't remember where or when

The clothes you're wearing are the clothes, you wore
The smile you are smiling you were smiling then
But I can't remember where or when

Some things that happened for the first time
Seem to be happenin' again
And so it seems that we have met before
And laughed before, and loved before
But who knows where or when

Some things that happened for the first time
Seem to be happenin' again
And so it seems that we have met before
And laughed before, and loved before
But who knows where or when

Transcribed by Todd Peach 
When you're awake, the things you think
Come from the dream you dream
Thought has wings, and lots of things
Are seldom what they seem
Sometimes you think you've lived before
All that you live to day
Things you do come back to you
As though they knew the way
Oh the tricks your mind can play",Where or When,['neutral'],257,jazz,{'neutral': 0.6683370471000671}
